date,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2019-07-11,45552.06004,43430.0,42600.0,45899.09,33013371.63277989,743.02063424,14956,44431.29855545
2019-07-10,48389.93994,45789.99993,44102.0,49800.0,46078968.04821956,978.24473658,23162,47103.7219268
2019-07-09,47100.0,48200.97003,46100.0,49000.0,29379196.09324897,618.88455396,17168,47471.2059055
2019-07-08,43711.0,47000.0,43700.0,47602.1,38131103.13551638,837.22118862,19888,45544.83767708
2019-07-07,43301.12,43701.0,43000.0,43990.0,3302460.21366595,75.65459759999997,2868,43651.81123725
2019-07-06,43400.18,43348.0,43010.0,44293.0,6435503.34818057,147.29670349999995,4241,43690.74931931
2019-07-05,43033.0,43400.16,42245.0,44499.0,18415320.10655909,424.70556131,11613,43360.20477282
2019-07-04,44800.00003,43033.0,42279.99,45735.05634,26855563.50180083,602.22038553,16367,44594.24514194
2019-07-03,42200.0,44949.99992,41600.99993,45100.0,36049055.17132751,821.58331766,19833,43877.54034977
2019-07-02,40350.0,42200.0,38000.01,43600.0,38801047.9693794,951.38799971,20008,40783.62138392
2019-07-01,43749.93986000001,40350.0,38202.0,43903.0,43190968.70513247,1059.09565393,20669,40780.98946479
2019-06-30,45891.05001,43759.99992,42550.0,46300.0,19057906.2025323,433.4888448,9573,43964.00606646
2019-06-29,45350.0,45995.0,44010.0,47600.0,13547845.77722719,294.19210886,7404,46051.01690091
2019-06-28,42250.0,45350.0,42001.05,47990.0,40787649.93953112,885.41161712,22446,46066.3144134
2019-06-27,48990.0,42250.0,40000.0,49497.9999,73738010.47684237,1678.41215077,34343,43933.19629091
2019-06-26,46099.99,48990.0,41000.0,54943.0,108507413.83557886,2180.62199283,51256,49759.84567355
2019-06-25,42675.89,46099.99992,42361.1,47450.0,46311038.71906769,1033.40059559,26915,44814.21717453
2019-06-24,40500.00003,42689.99,40350.0,42699.3,23703220.69289943,563.82241222,16421,42040.22433157
2019-06-23,40010.08,40500.00003,40000.0,41500.0,8471873.78807275,208.08374511,6032,40713.77023512
2019-06-22,41238.9,40001.11,38000.0,42950.0,33409004.68011367,820.01689133,18643,40741.84938547
2019-06-21,36997.0,41238.9,36800.00001,41400.0,28284078.55609315,731.87085912,18994,38646.26963027
2019-06-20,35900.0,36997.0,35600.0,36998.99,8475895.15389319,233.50889017,7706,36297.95485611
2019-06-19,35405.00006000001,35900.0,35200.0,35900.0,10555717.25635304,296.02513054,9499,35658.17955082
2019-06-18,35440.0,35600.0,34902.0,35859.89993,14934087.60347,421.93196227,11357,35394.53973366
2019-06-17,34450.11,35400.39,34323.0,36000.0,24583320.41809156,690.77535406,15930,35588.01030408
2019-06-16,34203.0,34450.11,33400.0,35399.0,10048189.98092239,290.74586389,7391,34560.04445423
2019-06-15,33590.0,34249.99,33450.03,34310.58,4938154.02314909,145.83835592,4716,33860.46141289
2019-06-14,32030.000030000007,33697.95988,32015.01,33990.0,14124867.745134195,427.75388544,13888,33021.01564923
2019-06-13,31755.0,32030.000030000007,31453.97835,32897.0,16856883.97984945,524.29847405,13234,32151.3123043
2019-06-12,31200.04001,31755.0,30898.09924,31998.5,12615987.37536639,400.30608413,9444,31515.85218292
2019-06-11,31400.0,31200.04001,30300.0,31495.0,11303601.67383327,365.32847892,9069,30940.92666208
2019-06-10,30729.99924,31330.86989,30286.56806,31600.0,10292142.02872828,328.86856682,8745,31295.60884534
2019-06-09,31410.005360000006,30744.505660000006,30003.02,31439.8,3986156.29886732,129.93161473,2611,30678.87909223
2019-06-08,31687.92,31425.0,31000.0,31800.0,3085770.39202697,98.38863117,2640,31363.07879611
2019-06-07,30411.0,31687.93,30398.99993,31999.0,12348528.2673462,394.60605062,9416,31293.30695245
2019-06-06,31141.59993,30411.0,29500.0,31143.48,11320373.80055996,372.65864657,8388,30377.32762879
2019-06-05,31700.0,30898.99,30000.0,31989.0,16306909.07701465,529.59754559,9664,30791.13415989
2019-06-04,32869.95983,31795.95864,29501.0,32869.95983,27839628.17076695,902.50342428,14955,30847.11638958
2019-06-03,34499.99,32898.64893,31020.0,34700.0,20273482.54311978,607.30332095,11862,33382.7954556
2019-06-02,34242.3,34401.0,34201.83154,34850.0,2881677.56742655,83.29492492,2621,34596.07617383
2019-06-01,34395.0,34414.87976,34200.0,34648.0,1963688.93062406,57.13047552,2339,34372.00395674
2019-05-31,33900.02023,34395.0,33200.0,34787.99,13351528.16878479,393.25437917,8936,33951.37823249
2019-05-30,34599.0,34247.95985,32803.01999999,35800.0,24760586.54840274,714.76140318,13400,34641.75099304
2019-05-29,35319.99,34599.0,34501.0,35500.0,14260289.10974748,405.0715233,10843,35204.37327604
2019-05-28,35450.0,35320.0,35000.0,35700.0,13380592.23952404,377.88148728,11329,35409.49395493
